blue_ADC_champion	blue_Jungle_champion	blue_Middle_champion	blue_Support_champion	blue_Top_champion	red_ADC_champion	red_Jungle_champion	red_Middle_champion	red_Support_champion	red_Top_champion	blue_ban1	blue_ban2	blue_ban3	blue_ban4	blue_ban5	red_ban1	red_ban2	red_ban3	red_ban4	red_ban5	league	blue_win
Kennen	Ivern	LeBlanc	Thresh	Gragas	Lucian	Graves	Lulu	Braum	Camille	Varus	Malzahar	Orianna	Ashe	Caitlyn	Aurelion Sol	Twitch	Shen	Fizz	Renekton	EULCS	1
Kennen	Elise	LeBlanc	Karma	Gnar	Caitlyn	Lee Sin	Lulu	Nami	Gragas	Varus	Malzahar	Orianna	Thresh	Braum	Aurelion Sol	Shen	Ivern	Zyra	Camille	EULCS	1
Ashe	Elise	Syndra	Malzahar	Jayce	Varus	Lee Sin	Fizz	Lulu	Shen	Zyra	Ezreal	Karma	Camille	LeBlanc	Kennen	Rumble	Graves	Gangplank	Renekton	LCK	0
Ashe	Graves	LeBlanc	Malzahar	Fiora	Twitch	Lee Sin	Karma	Lulu	Camille	Fizz	Shen	Zyra	Varus	Ezreal	Kennen	Rumble		Renekton	Jayce	LCK	0
Ashe	Rengar	LeBlanc	Karma	Jayce	Twitch	Graves	Lulu	Nami	Gragas	Fizz	Lee Sin	Renekton	Shen	Zilean	Kennen	Rumble	Camille	Elise	Ivern	LCK	0
Jinx	Graves	Taliyah	Lulu	Nautilus	Caitlyn	Lee Sin	Cassiopeia	Malzahar	Illaoi	Gragas	LeBlanc	Varus	Ekko	Ahri	Syndra	Orianna	Ashe	Camille	Kalista	LMS	1
Varus	Graves	Syndra	Zyra	Nautilus	Kog'Maw	Ivern	Jayce	Lulu	Rumble	LeBlanc	Kennen	Kha'zix	Lucian	Talon	Shen	Rengar	Camille	Malzahar	Orianna	NALCS	0
Kog'Maw	Ivern	Talon	Karma	Nautilus	Jhin	Kha'zix	Syndra	Lulu	Rumble	LeBlanc	Kennen	Graves	Varus	Ezreal	Shen	Rengar	Ashe	Orianna	Fizz	NALCS	1
Ezreal	Kha'zix	Orianna	Malzahar	Nautilus	Ziggs	Gragas	Talon	Lulu	Jarvan IV	LeBlanc	Kennen	Graves	Syndra	Ahri	Shen	Rengar	Ivern	Karma	Zyra	NALCS	1
Kog'Maw	Kha'zix	Ekko	Lulu	Nautilus	Twitch	Elise	Syndra	Karma	Shen	LeBlanc	Kennen	Graves	Ahri	Jayce	Rengar	Malzahar	Ivern	Orianna	Talon	NALCS	0
